categoria,centroide_lat,centroide_lon,funcion,id,municipio_id,nombre
Localidad simple,-23.1827186246626,-62.3040685442409,CABECERA_DEPARTAMENTO,34063020,340259.0,GENERAL MOSCONI
Localidad simple,-23.3394869143818,-61.8734659544108,,34063030,,EL QUEBRACHO
Localidad simple,-23.3419368713503,-66.0901014487309,,38007010,386007.0,ABDON CASTRO TOLAY
Localidad simple,-22.7223526298672,-65.6965045525232,CABECERA_DEPARTAMENTO,38007020,380014.0,ABRA PAMPA
Localidad simple,-23.1692063444784,-65.7944004862785,,38007030,386014.0,ABRALAITE
Localidad simple,-23.2167374833476,-65.8082738847531,,38007035,386014.0,AGUA DE CASTILLA
Localidad simple,-22.9850219724833,-66.0328013633041,,38007040,380014.0,CASABINDO
Localidad simple,-22.744265021174,-65.8951221139841,,38007050,380014.0,COCHINOCA
Localidad simple,-22.5294608585997,-65.5222832606241,,38007055,386021.0,LA REDONDA
Localidad simple,-22.5384288906185,-65.6978923774993,,38007060,386021.0,PUESTO DEL MARQUEZ
Localidad simple,-23.2857891128732,-65.7701494793729,,38007063,386014.0,QUEBRALEÑA
Localidad simple,-23.100830176506,-65.7627638222671,,38007067,386014.0,QUERA
Localidad simple,-23.3846029198326,-65.9573754338264,,38007070,386007.0,RINCONADILLAS
Localidad simple,-23.3198701399198,-65.9744058851841,,38007080,386007.0,SAN FRANCISCO DE ALFARCITO
Localidad simple,-23.1248833823314,-66.0521610363099,,38007085,386007.0,SANTA ANA DE LA PUNA
Localidad simple,-23.533244846401,-65.9632841858024,,38007090,386007.0,SANTUARIO DE TRES POZOS
Localidad simple,-22.8968709361119,-65.9620225137436,,38007095,380014.0,TAMBILLOS
Localidad simple,-23.1901128134571,-65.9890162373631,,38007100,386007.0,TUSAQUILLAS
Localidad simple,-24.5848393910268,-64.9239793842822,,38014010,386035.0,AGUAS CALIENTES
Localidad simple,-24.4610014305425,-65.1190583597652,,38014020,380063.0,BARRIO EL MILAGRO
Localidad simple,-24.4043300097514,-65.0697401829896,,38014030,380077.0,BARRIO LA UNION
Localidad simple,-24.3891095885225,-65.2605453068598,CABECERA_DEPARTAMENTO,38014040,380056.0,EL CARMEN
Localidad simple,-24.4759200783409,-65.0776012050616,,38014050,380063.0,LOS LAPACHOS
Localidad simple,-24.4293248380693,-65.1843971543033,,38014055,380063.0,LOTEO SAN VICENTE
Localidad simple,-24.5336970280067,-64.9771546670321,,38014060,386049.0,MANANTIALES
Localidad simple,-24.4421177051028,-65.1622505537209,,38014070,380063.0,MONTERRICO
Localidad simple,-24.5325323540548,-65.0742522158109,,38014080,386042.0,PAMPA BLANCA
Localidad simple,-24.3807802774745,-65.1162073560982,,38014090,380077.0,PERICO
Localidad simple,-24.485003513907,-64.9670262152006,,38014100,386049.0,PUESTO VIEJO
Localidad simple,-24.5556368462513,-64.9424207944567,,38014110,386035.0,SAN ISIDRO
Localidad simple,-24.3843856940085,-64.9937381095943,,38014120,380077.0,SAN JUANCITO
Localidad simple,-24.1859719091941,-65.4487115603426,,38021010,380035.0,GUERRERO
Localidad simple,-24.2656799176145,-65.3972038835292,,38021020,380035.0,LA ALMONA
Localidad simple,-24.0395227299023,-65.4309577730475,,38021030,386028.0,LEON
Localidad simple,-24.0820553565565,-65.4037790153252,,38021040,386028.0,LOZANO
Localidad simple,-23.9440584396018,-65.2322154882925,,38021050,386028.0,OCLOYAS
Componente de localidad compuesta,-24.1844139008337,-65.3039986701092,CAPITAL_PROVINCIA,38021060,380035.0,SAN SALVADOR DE JUJUY
Localidad simple,-23.9486188183993,-65.2985111585154,,38021065,386028.0,TESORERO
Componente de localidad compuesta,-24.1234541496883,-65.401435505228,,38021070,386028.0,YALA
Localidad simple,-23.0992150250753,-65.1865385997584,,38028003,380105.0,APARZO
Localidad simple,-23.1732331272464,-65.1578176759527,,38028007,380105.0,CIANZO
Localidad simple,-23.1543348556287,-65.2936644075552,,38028010,380105.0,COCTACA
Localidad simple,-23.2139846798174,-65.6788754303526,,38028020,380091.0,EL AGUILAR
Localidad simple,-22.9790987916947,-65.3527979015935,,38028030,386056.0,HIPOLITO YRIGOYEN
Localidad simple,-23.2118256384836,-65.3507419495251,CABECERA_DEPARTAMENTO,38028040,380105.0,HUMAHUACA
Localidad simple,-23.1220406414082,-65.134806337775,,38028043,380105.0,PALCA DE APARZO
Localidad simple,-23.1018612642193,-65.112920847023,,38028045,380105.0,PALCA DE VARAS
Localidad simple,-23.0621839336364,-65.3260425196352,,38028047,380105.0,RODERO
Localidad simple,-22.9169380002989,-65.5878327366614,,38028050,386063.0,TRES CRUCES
Localidad simple,-23.3041905968327,-65.356558164038,,38028060,380105.0,UQUIA
Localidad simple,-23.565439613584,-64.501163197896,,38035010,380147.0,BANANAL
Localidad simple,-23.7881113454008,-64.73005792215,,38035020,380126.0,BERMEJITO
Localidad simple,-23.7390273358675,-64.5927674367985,,38035030,380119.0,CAIMANCITO
Localidad simple,-23.77580785145,-64.7714502012243,,38035040,380126.0,CALILEGUA
Localidad simple,-24.0701319470485,-64.8068636697633,,38035050,380133.0,CHALICAN
Localidad simple,-23.9420214191485,-64.8029446573235,,38035060,380133.0,FRAILE PINTADO
Localidad simple,-23.7623858141283,-64.7259945367992,,38035070,380126.0,LIBERTAD
Localidad simple,-23.8091072493712,-64.7927821518223,CABECERA_DEPARTAMENTO,38035080,380140.0,LIBERTADOR GENERAL SAN MARTIN
Localidad simple,-23.9506323797642,-64.7736232797616,,38035090,380133.0,MAIZ NEGRO
Localidad simple,-23.8445381270952,-64.7389846268417,,38035100,380140.0,PAULINA
Localidad simple,-23.6473910528443,-64.4683378490048,,38035110,380147.0,YUTO
Localidad simple,-24.3076479727425,-65.0834468981217,,38042010,380154.0,CARAHUNCO
Localidad simple,-24.2287296415511,-65.1776468508489,,38042020,380154.0,CENTRO FORESTAL
Componente de localidad compuesta,-24.2529660001884,-65.1981859947647,CABECERA_DEPARTAMENTO,38042040,380154.0,PALPALA
Localidad simple,-22.3253946072654,-66.2837654791341,,38049003,386077.0,CASA COLORADA
Localidad simple,-22.7704435619992,-66.440426993556,,38049007,386070.0,COYAGUAIMA
Localidad simple,-22.4621492240335,-66.6281060495323,,38049010,386140.0,LAGUNILLAS DE FARALLON
Localidad simple,-22.5205427089875,-66.3370942259576,,38049020,386070.0,LIVIARA
Localidad simple,-22.4715310141327,-66.4842002316312,,38049025,386070.0,LOMA BLANCA
Localidad simple,-22.6879554218994,-66.4563756677863,,38049030,386070.0,NUEVO PIRQUITAS
Localidad simple,-22.5570555914003,-66.3563627312908,,38049035,386070.0,OROSMAYO
Localidad simple,-22.4403477816105,-66.1673735179392,CABECERA_DEPARTAMENTO,38049040,386077.0,RINCONADA
Localidad simple,-24.3013918074401,-65.2794378200693,,38056010,386084.0,EL CEIBAL
Localidad simple,-24.2694294471429,-65.3038293509073,,38056017,386084.0,LOS ALISOS
Localidad simple,-24.2701433897522,-65.2740648045537,,38056020,386084.0,LOTEO NAVEA
Localidad simple,-24.3184045981955,-65.400922691233,,38056025,386084.0,NUESTRA SEÑORA DEL ROSARIO
Localidad simple,-24.3672400343176,-65.3377007673345,CABECERA_DEPARTAMENTO,38056030,386084.0,SAN ANTONIO
Localidad simple,-24.1768075323298,-64.8403333563822,,38063010,386091.0,ARRAYANAL
Localidad simple,-24.3365556568725,-64.6635805195006,,38063020,380224.0,ARROYO COLORADO
Localidad simple,-24.3167328574824,-64.9078893331684,,38063030,386112.0,DON EMILIO
Localidad simple,-24.4035872902003,-64.8010495450204,,38063040,380224.0,EL ACHERAL
Localidad simple,-24.1989198465405,-64.7892891441781,,38063050,380196.0,EL PUESTO
