id_registro,productos
89,INCULTO
89,AVENA
89,PASTURAS
89,CENTENO
89,SORGO
89,GIRASOL
90,CEREALES
90,OLEAGINOSAS
91,CEREALES
92,SORGO
93,SOJA
93,MAIZ
94,GIRASOL ALTO OLEICO
95,MAIZ
96,SOJA
96,MAIZ
97,MAIZ
97,DESCANSO
98,SORGO
98,SOJA
99,HORTICULTURA
100,HORTALIZAS
101,AVENA
101,CENTENO
101,GANADERIA BOVINA
102,TRIGO
102,AVENA
102,CENTENO
102,CEBADA
102,GIRASOL
102,GANADERIA BOVINA
103,SOJA
103,MAIZ
103,PASTURAS
103,TRIGO
103,CEBADA
103,CAMPO NATURAL
104,SOJA
104,SORGO
104,CAMPO NATURAL
104,PASTURAS
105,MAIZ
105,PASTURAS
105,SOJA
105,MAIZ PISINGALLO
105,CAMPO NATURAL
106,DESCANSO
106,SOJA
106,MAIZ
106,PASTURAS
107,PASTURAS
107,ABONO VERDE
107,CAMPO NATURAL
107,SOJA
107,DESCANSO
107,MONTE
108,SOJA
109,SOJA
110,SOJA
111,VACAS
111,NOVILLOS
111,VAQUILLONAS
111,TOROS
111,TERNEROS
111,TERNERAS
112,RADICHETA
112,RUCULA
112,ALBAHACA
112,MENTA
112,CILANTRO
112,SALVIA
112,TOMILLO
112,ESPARRAGOS
112,TOMATE
112,INCULTO
112,ROMERO
112,ALFALFA
112,ALCAUCIL
112,ESTRAGON
112,PEREJIL
112,CEBOLLA
113,TRIGO
114,TRIGO
115,HORTALIZAS
115,ARROZ
116,SOJA
117,CEREALES
117,OLEAGINOSAS
118,CEREALES
118,OLEAGINOSAS
119,CEREALES
119,OLEAGINOSAS
120,CEREALES
120,OLEAGINOSAS
121,CEREALES
121,OLEAGINOSAS
122,VACAS
122,VAQUILLONAS
122,TOROS
122,TERNEROS
122,TERNERAS
123,MORA
123,INCULTO
123,ARANDANO
123,FRAMBUESA
123,PERA
123,MANDARINA
123,NARANJA
123,LIMON
123,NUEZ PECAN
123,HIGOS
123,DURAZNO
123,CIRUELA
124,HORTICULTURA: (RAIZ
124,HOJAS
124,FRUTOS) 
124, FRUTALES: (CAROZO
124,PEPITA
124,CITRICOS).
125,CEREALES
125,OLEAGINOSAS
125,GANADERIA BOVINA
126,MAIZ
126,SOJA
126,GIRASOL
127,UVA
127,INCULTO
127,PASAS DE UVA
128,OLIVOS
129,MAIZ
129,POROTO
129,AMARANTO
130,MAIZ
130,GARBANZO
130,POROTO
131,OLIVOS
132,CHIA (SALVIA HISPANICA L.)
133,VID
134,OLIVOS
135,GERANIO
135,PASTO LIMON
135,OREGANO
136,CEREALES
136,OLEAGINOSAS
136,LEGUMINOSAS
137,GARBANZO
137,GIRASOL
137,MAIZ
137,TRIGO
137,MANI
137,POROTO
137,CHIA
137,AMARANTO
137,SESAMO
137,ARVEJA
138,ACELGA
138,ESPINACA
138,LERCHUGA GALLEGA
138,LECHUGA MANTECOSA
138,LECHUGA CRESPA
138,PEREJIL
138,RABANITO
138,ESCAROLA FINA
138,ZANAHORIA
138,ROMERO
138,CEBOLLA DE VERDEO
138, RUCULA
138,CIRUELAS
138,DURAZNOS.
139,TRIGO
139,MAIZ
139,SOJA
139,"ALFALFA,CENTENO"
139,GANADERIA BOVINA
140,MIEL
140,SUBPRODUCTOS DE LA COLMENA
141,MAIZ
141,TRIGO
141,SOJA
142,TOMILLO
142,SALVIA
142,OREGANO
142,PEREJIL
142,PUERRO
142,CEBOLLA
142,ZANAHORIA
142,LECHUGA
142,ACELGA
142,ZAPALLITO
142,REMOLACHA
142,CHOCLO
142,ZUCCINI
142,ESPINACA
142,RABANITO
142,CHAUCHA
142,RUCULA
142,CILANTRO
142,NABO
142,PEPINO
142,APIO
142,MELON
142,ZAPALLO
142,ROMERO
142,ESPARRAGOS
143,CEBADA
143,ALFALFA
143,VICIA
143,RABANITO
143,NABO
143,REMOLACHA
143,RUCULA
143,LECHUGA
143,PUERRO
143,CEBOLLA
144,ACEITUNAS
144,OLIVO
144,MELON
144,TOMATE
144,ZAPALLO
144,CEBOLLA
144,ZANAHORIA
144,MANZANILLA
144,PAPA
144,REMOLACHA
144,ACELGA
144,ESPINACA
144,PIMIENTO
144,LECHUGA
144,PEREJIL
145,TERNEROS
145,VACAS
145,VAQUILLONAS
145,TOROS
146,CEREALES
146,OLEAGINOSAS
147,GARBANZO
147,GIRASOL
147,MAIZ
147,TRIGO
147,MANI
147,POROTO
147,CHIA
147,AMARANTO
147,SESAMO
147,ARVEJAS
147,OLIVAS
147,OTROS.   
148,NUCLEOS
148,COLMENAS
148,ALZA MELARIA
149,AROMATICAS
150,MANDARINA
150,NARANJA
151,LIMON
152,INCULTO
152,ARROZ
153,ARROZ
154,ARROZ
155,ARROZ
155,CAMPO NATURAL
156,INCULTO
156,DESCANSO
156,ARROZ
156,MONTE
157,LIMON
158,ZAPALLO
158,DESCANSO
158,INCULTO
159,ZAPALLO
159,CAMPO NATURAL
160,ALZA MELARIA
160,COLMENAS
160,NUCLEOS
161,ARROZ
161,INCULTO
162,POMELO
163,MIEL
163,SUBPRODUCTOS DE LA COLMENA
164,MIEL
164,SUBPRODUCTOS DE LA COLMENA
165,MIEL
165,SUBPRODUCTOS DE LA COLMENA
166,ARROZ
167,NUCLEOS
167,COLMENAS
167,ALZA MELARIA
167,CERA
168,MIEL
168,SUBPRODUCTOS DE LA COLMENA
169,MIEL
169,SUBPRODUCTOS DE LA COLMENA
170,VACAS
170,TOROS
171,OVEJAS
171,LANA SUCIA
171,CAPONES
171,BORREGAS
171,BORREGOS
171,CARNEROS
172,LANA SUCIA
172,CAPONES
172,OVEJAS
172,CARNEROS
173,LANA SUCIA
173,GUANACOS
174,LANA SUCIA
174,CARNEROS
174,BORREGAS
174,OVEJAS
174,CAPONES
174,BORREGOS
175,TERNEROS
175,NOVILLOS
175,TOROS
175,VACAS
175,VAQUILLONAS
176,GANADERIA BOVINA
176,GANADERIA OVINA (CARNE
176,LANA)
177,ROSA MOSQUETA
178,CASSIS
178,FRAMBUESA
178,MORA
178,GROSELLA
179,CASSIS
179,FRAMBUESA
179,MORA
180,LANA SUCIA
180,OVEJAS
180,BORREGAS
180,CORDEROS
180,CAPONES
180,CARNEROS
181,VACAS
181,VAQUILLONAS
181,TOROS
181,TERNEROS
182,OVEJAS
182,LANA SUCIA
182,BORREGOS
182,BORREGAS
182,CARNEROS
182,CAPONES
183,LANA SUCIA
183,OVEJAS
183,BORREGOS
183,CAPONES
183,CARNEROS
184,OVEJAS
184,LANA SUCIA
184,BORREGOS
184,BORREGAS
184,CAPONES
185,OVEJAS
185,CAPONES
185,CARNEROS
185,CORDEROS
186,TOROS
186,VACAS
186,TERNEROS
186,TERNERAS
187,LANA SUCIA
187,OVEJAS
187,BORREGAS
187,CAPONES
187,BORREGOS
187,CARNEROS
188,LANA SUCIA
188,OVEJAS
188,CAPONES
188,BORREGOS
188,BORREGAS
188,CARNEROS
189,GUANACOS
190,PARAMELA
191,VAQUILLONAS
191,VACAS
191,TOROS
191,TERNEROS
192,VACAS
192,VAQUILLONAS
192,TERNERAS
192,NOVILLOS
192,TOROS
193,OVEJAS
193,BORREGAS
193,CORDEROS
193,CAPONES
193,CARNEROS
194,OVEJAS
194,LANA SUCIA
194,BORREGAS
194,BORREGOS
194,CAPONES
194,CARNEROS
195,LANA SUCIA
195,CARNEROS
195,BORREGAS
195,CAPONES
195,BORREGOS
195,OVEJAS
196,CASSIS
196,FRAMBUESA
196,MORA
196,GROSELLA
196,SAUCO
197,FRAMBUESA
197,BOYSENBERRY
197,CASSIS
197,MORA
197,GUINDA
197,SAUCO
197,AVELLANO
197,CORINTO
198,CARNEROS
198,OVEJAS
198,CAPONES
198,CORDEROS
199,VACAS
200,MONTE
200,FRUTILLA
200,FRAMBUESA
200,GROSELLA
200,CORINTO
200,SAUCO
200,CEREZA
200,CAMPO NATURAL
200,GUINDAS
200,CASSIS
200,ZARZAMORA
200,ARANDANO
201,CAPONES
202,CARNEROS
202,LANA SUCIA
202,CAPONES
202,OVEJAS
202,BORREGAS
202,BORREGOS
202,CORDEROS
203,LANA SUCIA
203,OVEJAS
203,CAPONES
203,CARNEROS
203,BORREGOS
204,ROSA MOSQUETA
204,MORILLAS
204,HIPERICOM
205,FRAMBUESA
205,FRUTILLA
205,ROSA MOSQUETA
206,OVEJAS
206,LANA SUCIA
206,CAPONES
206,CARNEROS
206,BORREGAS
206,BORREGOS
207,ALGAS MARINAS
208,VACAS
208,VAQUILLONAS
208,NOVILLOS
208,TERNEROS
208,TERNERAS
208,TOROS
209,OVEJAS
209,LANA SUCIA
209,BORREGAS
209,CAPONES
209,CARNEROS
210,OVEJAS
210,BORREGAS
210,BORREGOS
210,CAPONES
210,CARNEROS
211,LANA SUCIA
211,OVEJAS
211,CAPONES
211,CARNEROS
211,BORREGOS
211,BORREGAS
212,GIRASOL AO
212,SORGO BLANCO
212,MIJO
212,MAIZ PISINGALLO
212,LINO DORADO
213,MIEL
213,EXTRACCION DE MIEL
213,ESTAMPADO DE CERA
214,INCULTO
214,CAMPO NATURAL
214,MONTE
214,STEVIA
215,NARANJA
215,LIMON
215,MANDARINA
215,POMELO
216,MAIZ
216,LINO
217,CEREALES
217,OLEAGINOSAS
218,LIMON
218,NARANJA
219,LINO
219,CEBADA
219,CENTENO
219,TRITICALE
219,SOJA
219,MAIZ
219,MOSTAZA
220,ARANDANOS
221,CAMPO NATURAL
221,MAIZ PISINGALLO
221,GIRASOL CONFITERO
222,ARROZ
223,NUEZ PECAN
223,STEVIA
223,FRUTALES
224,ARROZ
225,ARROZ
226,LINO DORADO
227,LINO DORADO
228,LINO MARRON
229,LINO MARRON
230,LINO MARRON
230,LINO DORADO
231,CORIANDRO
232,LIMON
232,NARANJA
233,NARANJA
234,TRIGO
234,SOJA
235,SOJA
235,MAIZ
236,ARROZ
237,SORGO
237,TRIGO
237,ARROZ
238,SORGO
239,SORGO
240,CAMPO NATURAL
241,CAMPO NATURAL
242,CAMPO NATURAL
243,CAMPO NATURAL
244,CAMPO NATURAL
245,LINO
245,ARROZ
246,VACAS
246,VAQUILLONAS
246,TERNERAS
246,TOROS
246,TERNEROS
246,NOVILLOS
247,NARANJA
247,MANDARINA
247,LIMON
247,DURAZNO
247,CIRUELA
247,MAIZ
247,TOMATE
247,POMELO
248,AGRICULTURA
249,NUEZ PECAN
250,ALOE VERA
250,PASTIZAL NATURAL
250,INCULTO
251,BANANO
251,MANGO
251,FRUTAS TROPICALES
252,POMELO
252,INCULTO
253,CAÑA DE AZUCAR
253,DESCANSO
