id_registro,rubro
268,AGRICULTURA
269,AGRICULTURA
270,AGRICULTURA
271,AGRICULTURA
272,APICULTURA
273,APICULTURA
274,FRUTICULTURA
275,FRUTICULTURA
276,FRUTICULTURA
277,AGRICULTURA
278,AGRICULTURA
279,FRUTICULTURA
279,HORTICULTURA
280,FRUTICULTURA
281,FRUTICULTURA
282,FRUTICULTURA
283,FRUTICULTURA
284,FRUTICULTURA
285,FRUTICULTURA
286,FRUTICULTURA
287,FRUTICULTURA
288,AGRICULTURA
289,FRUTICULTURA
290,AGRICULTURA
291,FRUTICULTURA
292,FRUTICULTURA
293,FRUTICULTURA
294,FRUTICULTURA
295,FRUTICULTURA
296,FRUTICULTURA
296,HORTICULTURA
297,FRUTICULTURA
298,FRUTICULTURA
299,AGRICULTURA
300,FRUTICULTURA
300,HORTICULTURA
301,FRUTICULTURA
302,FRUTICULTURA
303,FRUTICULTURA
304,FRUTICULTURA
305,FRUTICULTURA
306,AGRICULTURA
307,FRUTICULTURA
308,FRUTICULTURA
308,HORTICULTURA
309,FRUTICULTURA
309,HORTICULTURA
310,FRUTICULTURA
310,HORTICULTURA
311,FRUTICULTURA
312,FRUTICULTURA
312,HORTICULTURA
313,FRUTICULTURA
314,FRUTICULTURA
315,FRUTICULTURA
315,HORTICULTURA
316,FRUTICULTURA
317,FRUTICULTURA
318,FRUTICULTURA
318,HORTICULTURA
319,FRUTICULTURA
319,HORTICULTURA
320,FRUTICULTURA
320,HORTICULTURA
321,FRUTICULTURA
322,FRUTICULTURA
322,HORTICULTURA
323,FRUTICULTURA
323,HORTICULTURA
324,FRUTICULTURA
325,FRUTICULTURA
326,FRUTICULTURA
327,AGRICULTURA
328,FRUTICULTURA
329,FRUTICULTURA
330,FRUTICULTURA
331,FRUTICULTURA
332,FRUTICULTURA
333,FRUTICULTURA
334,FRUTICULTURA
335,FRUTICULTURA
335,HORTICULTURA
336,FRUTICULTURA
336,HORTICULTURA
337,FRUTICULTURA
337,HORTICULTURA
338,FRUTICULTURA
338,HORTICULTURA
339,FRUTICULTURA
340,AGRICULTURA
341,AGRICULTURA
342,AGRICULTURA
343,AGRICULTURA
344,FRUTICULTURA
345,FRUTICULTURA
346,FRUTICULTURA
347,FRUTICULTURA
347,HORTICULTURA
348,FRUTICULTURA
349,FRUTICULTURA
349,HORTICULTURA
350,FRUTICULTURA
350,HORTICULTURA
351,FRUTICULTURA
352,FRUTICULTURA
353,FRUTICULTURA
354,HORTICULTURA
355,FRUTICULTURA
356,FRUTICULTURA
357,FRUTICULTURA
358,FRUTICULTURA
359,FRUTICULTURA
359,HORTICULTURA
360,FRUTICULTURA
360,HORTICULTURA
361,FRUTICULTURA
361,HORTICULTURA
362,AGRICULTURA
363,FRUTICULTURA
364,FRUTICULTURA
365,FRUTICULTURA
365,HORTICULTURA
366,FRUTICULTURA
367,FRUTICULTURA
368,FRUTICULTURA
369,FRUTICULTURA
369,HORTICULTURA
370,FRUTICULTURA
371,FRUTICULTURA
372,FRUTICULTURA
373,FRUTICULTURA
373,HORTICULTURA
374,FRUTICULTURA
374,HORTICULTURA
375,FRUTICULTURA
376,FRUTICULTURA
377,FRUTICULTURA
378,FRUTICULTURA
378,HORTICULTURA
379,FRUTICULTURA
379,HORTICULTURA
380,FRUTICULTURA
380,HORTICULTURA
381,FRUTICULTURA
382,FRUTICULTURA
382,HORTICULTURA
383,FRUTICULTURA
384,FRUTICULTURA
385,FRUTICULTURA
386,FRUTICULTURA
387,FRUTICULTURA
387,HORTICULTURA
388,FRUTICULTURA
389,FRUTICULTURA
389,HORTICULTURA
390,FRUTICULTURA
391,FRUTICULTURA
392,FRUTICULTURA
393,FRUTICULTURA
394,FRUTICULTURA
395,FRUTICULTURA
396,APICULTURA
397,FRUTICULTURA
398,FRUTICULTURA
398,HORTICULTURA
399,FRUTICULTURA
399,HORTICULTURA
400,FRUTICULTURA
401,FRUTICULTURA
402,FRUTICULTURA
402,HORTICULTURA
403,FRUTICULTURA
404,FRUTICULTURA
405,FRUTICULTURA
406,FRUTICULTURA
407,FRUTICULTURA
408,FRUTICULTURA
408,HORTICULTURA
409,FRUTICULTURA
409,HORTICULTURA
410,FRUTICULTURA
410,HORTICULTURA
411,HORTICULTURA
412,FRUTICULTURA
412,HORTICULTURA
413,FRUTICULTURA
414,FRUTICULTURA
414,HORTICULTURA
415,FRUTICULTURA
415,HORTICULTURA
416,FRUTICULTURA
417,FRUTICULTURA
417,HORTICULTURA
418,FRUTICULTURA
419,FRUTICULTURA
419,HORTICULTURA
420,FRUTICULTURA
420,HORTICULTURA
421,FRUTICULTURA
421,HORTICULTURA
422,FRUTICULTURA
423,FRUTICULTURA
423,HORTICULTURA
424,FRUTICULTURA
425,FRUTICULTURA
426,FRUTICULTURA
427,FRUTICULTURA
428,FRUTICULTURA
429,FRUTICULTURA
430,FRUTICULTURA
431,AGRICULTURA
432,FRUTICULTURA
432,HORTICULTURA
433,FRUTICULTURA
434,FRUTICULTURA
435,FRUTICULTURA
436,FRUTICULTURA
437,FRUTICULTURA
437,HORTICULTURA
438,FRUTICULTURA
439,AGRICULTURA
440,AGRICULTURA
441,AGRICULTURA
442,AGRICULTURA
443,AGRICULTURA
444,AGRICULTURA
445,AGRICULTURA
446,AGRICULTURA
447,AGRICULTURA
448,AGRICULTURA
449,AGRICULTURA
450,FRUTICULTURA
451,AGRICULTURA
452,AGRICULTURA
453,AGRICULTURA
454,AGRICULTURA
455,AGRICULTURA
456,AGRICULTURA
457,AGRICULTURA
458,AGRICULTURA
459,AGRICULTURA
460,AGRICULTURA
461,AGRICULTURA
462,AGRICULTURA
463,AGRICULTURA
464,AGRICULTURA
465,AGRICULTURA
466,AGRICULTURA
467,AGRICULTURA
468,AGRICULTURA
469,AGRICULTURA
470,AGRICULTURA
471,AGRICULTURA
472,AGRICULTURA
473,AGRICULTURA
474,AGRICULTURA
475,AGRICULTURA
476,AGRICULTURA
477,AGRICULTURA
478,AGRICULTURA
479,AGRICULTURA
480,AGRICULTURA
481,AGRICULTURA
482,AGRICULTURA
483,AGRICULTURA
484,AGRICULTURA
485,AGRICULTURA
486,AGRICULTURA
487,AGRICULTURA
488,AGRICULTURA
489,AGRICULTURA
490,AGRICULTURA
491,AGRICULTURA
492,AGRICULTURA
493,AGRICULTURA
494,AGRICULTURA
495,AGRICULTURA
496,AGRICULTURA
497,AGRICULTURA
498,AGRICULTURA
499,AGRICULTURA
500,AGRICULTURA
501,AGRICULTURA
502,AGRICULTURA
503,AGRICULTURA
504,AGRICULTURA
505,AGRICULTURA
506,AGRICULTURA
507,AGRICULTURA
508,AGRICULTURA
509,AGRICULTURA
510,AGRICULTURA
511,AGRICULTURA
512,AGRICULTURA
513,AGRICULTURA
514,AGRICULTURA
515,AGRICULTURA
516,AGRICULTURA
517,AGRICULTURA
518,AGRICULTURA
519,AGRICULTURA
520,AGRICULTURA
521,AGRICULTURA
522,AGRICULTURA
523,AGRICULTURA
524,AGRICULTURA
525,AGRICULTURA
526,AGRICULTURA
527,AGRICULTURA
528,AGRICULTURA
529,AGRICULTURA
530,AGRICULTURA
531,AGRICULTURA
532,AGRICULTURA
533,AGRICULTURA
534,AGRICULTURA
535,AGRICULTURA
536,AGRICULTURA
537,AGRICULTURA
538,AGRICULTURA
539,AGRICULTURA
540,AGRICULTURA
541,AGRICULTURA
542,AGRICULTURA
543,AGRICULTURA
544,AGRICULTURA
545,AGRICULTURA
546,AGRICULTURA
547,AGRICULTURA
548,AGICULTURA
548,HORTICULTURA
549,AGRICULTURA
550,AGRICULTURA
551,AGRICULTURA
552,AGICULTURA
552,FRUTICULTURA
553,AGRICULTURA
554,AGRICULTURA
555,AGRICULTURA
556,AGRICULTURA
557,AGRICULTURA
558,AGRICULTURA
559,AGRICULTURA
560,AGRICULTURA
561,AGRICULTURA
562,AGRICULTURA
563,AGRICULTURA
564,AGRICULTURA
565,AGRICULTURA
566,AGRICULTURA
567,AGRICULTURA
568,AGRICULTURA
569,AGRICULTURA
570,AGRICULTURA
571,AGRICULTURA
572,AGRICULTURA
573,AGRICULTURA
574,AGRICULTURA
575,AGRICULTURA
576,AGRICULTURA
577,AGRICULTURA
578,AGRICULTURA
579,AGRICULTURA
580,AGRICULTURA
581,AGRICULTURA
582,AGRICULTURA
583,AGRICULTURA
584,AGRICULTURA
585,AGRICULTURA
586,AGRICULTURA
587,AGRICULTURA
588,AGRICULTURA
589,AGRICULTURA
590,AGRICULTURA
591,AGRICULTURA
592,AGRICULTURA
593,AGRICULTURA
594,AGRICULTURA
595,AGRICULTURA
596,AGRICULTURA
597,AGRICULTURA
598,AGRICULTURA
599,AGRICULTURA
600,AGRICULTURA
601,AGRICULTURA
602,AGRICULTURA
603,AGRICULTURA
604,AGRICULTURA
605,AGRICULTURA
606,AGRICULTURA
607,AGRICULTURA
608,AGRICULTURA
609,AGRICULTURA
610,AGRICULTURA
611,AGRICULTURA
612,AGRICULTURA
613,AGRICULTURA
614,AGRICULTURA
615,AGRICULTURA
616,AGRICULTURA
617,AGRICULTURA
618,AGRICULTURA
619,AGRICULTURA
620,AGRICULTURA
621,AGRICULTURA
622,AGRICULTURA
623,AGRICULTURA
624,AGRICULTURA
625,AGRICULTURA
626,AGRICULTURA
627,AGRICULTURA
629,AGRICULTURA
630,AGRICULTURA
631,AGRICULTURA
632,AGRICULTURA
633,AGRICULTURA
634,AGRICULTURA
635,AGRICULTURA
636,AGRICULTURA
637,FRUTICULTURA
